Yardline,Quarter,Yds_to_go,Time_remaining,Wind_speed,Timeouts,Score_differential,Offense_strength,Opp_defense_strength
60.0,3.0,7.0,1263.0,6.0,3.0,0.0,-0.0579264296982367,0.0765909426965908
21.0,3.0,4.0,1052.0,6.0,3.0,0.0,-0.0579264296982367,0.0765909426965908
1.0,4.0,1.0,900.0,6.0,3.0,-4.0,-0.0579264296982367,0.0765909426965908
17.0,4.0,9.0,559.0,6.0,3.0,-4.0,-0.0579264296982367,0.0765909426965908
66.0,4.0,1.0,264.0,6.0,2.0,-4.0,-0.0579264296982367,0.0765909426965908
39.0,4.0,5.0,22.0,6.0,0.0,-4.0,-0.0579264296982367,0.0765909426965908
64.0,1.0,10.0,3472.0,36.0,2.0,0.0,-0.0579264296982367,-0.04344200507219
31.0,1.0,4.0,2971.0,36.0,2.0,7.0,-0.0579264296982367,-0.04344200507219
31.0,2.0,9.0,2521.0,36.0,2.0,3.0,-0.0579264296982367,-0.04344200507219
42.0,2.0,1.0,2082.0,36.0,2.0,6.0,-0.0579264296982367,-0.04344200507219
25.0,2.0,2.0,1804.0,36.0,0.0,-1.0,-0.0579264296982367,-0.04344200507219
57.0,3.0,6.0,1474.0,36.0,3.0,2.0,-0.0579264296982367,-0.04344200507219
70.0,4.0,5.0,897.0,36.0,3.0,-8.0,-0.0579264296982367,-0.04344200507219
85.0,4.0,10.0,596.0,36.0,3.0,-8.0,-0.0579264296982367,-0.04344200507219
82.0,4.0,11.0,381.0,36.0,3.0,-8.0,-0.0579264296982367,-0.04344200507219
44.0,4.0,8.0,62.0,36.0,2.0,-8.0,-0.0579264296982367,-0.04344200507219
45.0,1.0,12.0,3348.0,15.0,3.0,0.0,-0.0579264296982367,-0.0017807959942073
82.0,2.0,8.0,2566.0,15.0,3.0,7.0,-0.0579264296982367,-0.0017807959942073
67.0,2.0,16.0,2286.0,15.0,3.0,7.0,-0.0579264296982367,-0.0017807959942073
62.0,2.0,11.0,2272.0,15.0,3.0,7.0,-0.0579264296982367,-0.0017807959942073
41.0,2.0,4.0,2196.0,15.0,3.0,7.0,-0.0579264296982367,-0.0017807959942073
63.0,2.0,2.0,2010.0,15.0,2.0,7.0,-0.0579264296982367,-0.0017807959942073
36.0,2.0,20.0,1808.0,15.0,0.0,7.0,-0.0579264296982367,-0.0017807959942073
31.0,2.0,15.0,1808.0,15.0,0.0,7.0,-0.0579264296982367,-0.0017807959942073
54.0,3.0,1.0,1508.0,15.0,3.0,10.0,-0.0579264296982367,-0.0017807959942073
59.0,3.0,6.0,1486.0,15.0,3.0,10.0,-0.0579264296982367,-0.0017807959942073
81.0,3.0,15.0,1294.0,15.0,3.0,10.0,-0.0579264296982367,-0.0017807959942073
24.0,3.0,2.0,1195.0,15.0,3.0,10.0,-0.0579264296982367,-0.0017807959942073
71.0,3.0,17.0,902.0,15.0,3.0,13.0,-0.0579264296982367,-0.0017807959942073
55.0,4.0,1.0,420.0,15.0,3.0,14.0,-0.0579264296982367,-0.0017807959942073
80.0,4.0,15.0,134.0,15.0,3.0,14.0,-0.0579264296982367,-0.0017807959942073
69.0,1.0,6.0,3447.0,3.0,3.0,0.0,-0.0579264296982367,-0.1254975692627722
46.0,1.0,13.0,3127.0,3.0,3.0,0.0,-0.0579264296982367,-0.1254975692627722
7.0,2.0,4.0,2433.0,3.0,3.0,0.0,-0.0579264296982367,-0.1254975692627722
64.0,2.0,19.0,2017.0,3.0,3.0,-4.0,-0.0579264296982367,-0.1254975692627722
40.0,4.0,20.0,249.0,3.0,2.0,21.0,-0.0579264296982367,-0.1254975692627722
49.0,1.0,6.0,3345.0,,3.0,0.0,-0.0579264296982367,-0.023619877144352
75.0,2.0,6.0,2609.0,,2.0,7.0,-0.0579264296982367,-0.023619877144352
74.0,2.0,4.0,2381.0,,2.0,7.0,-0.0579264296982367,-0.023619877144352
