Yardline,Quarter,Yds_to_go,Time_remaining,Wind_speed,Timeouts,Score_differential,Offense_strength,Opp_defense_strength,WP_go,WP_fg,WP_punt
66.0,1.0,1.0,3425.0,8.0,3.0,0.0,-0.0579264296982367,-0.0066225897041464,0.5048028220746259,0.488101433185737,0.49774835340216494
71.0,1.0,6.0,3412.0,8.0,3.0,0.0,-0.0579264296982367,-0.0066225897041464,0.48283980497251155,0.5128398049725116,0.5115054802273649
32.0,1.0,15.0,2741.0,8.0,3.0,0.0,-0.0579264296982367,-0.0066225897041464,0.5397763830944123,0.5450415718570635,0.49934833930237776
53.0,3.0,2.0,1363.0,8.0,3.0,3.0,-0.0579264296982367,-0.0066225897041464,0.6605503496755927,0.6362345614357048,0.6196593162961402
42.0,3.0,1.0,946.0,8.0,3.0,3.0,-0.0579264296982367,-0.0066225897041464,0.6483576484088529,0.6539226165157918,0.6633218513205236
78.0,4.0,18.0,779.0,8.0,3.0,3.0,-0.0579264296982367,-0.0066225897041464,0.6317396942772432,0.5932313609439098,0.6128916196508137
27.0,4.0,14.0,463.0,8.0,3.0,3.0,-0.0579264296982367,-0.0066225897041464,0.6414043545229672,0.7826666394492962,0.7492428933683111
19.0,4.0,16.0,342.0,8.0,3.0,3.0,-0.0579264296982367,-0.0066225897041464,0.6476460279049587,0.8017472562298386,0.7828823377204536
42.0,1.0,11.0,3118.0,7.0,3.0,-7.0,-0.0579264296982367,-0.1254975692627722,0.29226884591773766,0.2869735209997662,0.2833505029024342
28.0,2.0,2.0,2700.0,7.0,3.0,-18.0,-0.0579264296982367,-0.1254975692627722,0.11823699679270955,0.1569732631498335,0.12899949532955712
64.0,2.0,7.0,2243.0,7.0,3.0,-18.0,-0.0579264296982367,-0.1254975692627722,0.09146651439511146,0.07458179217288924,0.08081830582089689
79.0,3.0,22.0,1002.0,7.0,2.0,-1.0,-0.0579264296982367,-0.1254975692627722,0.3684752581397239,0.32941970258416836,0.3608371365183704
31.0,4.0,11.0,683.0,7.0,2.0,-1.0,-0.0579264296982367,-0.1254975692627722,0.4916597354828843,0.5423660361480366,0.41889419195878824
23.0,4.0,7.0,177.0,7.0,0.0,2.0,-0.0579264296982367,-0.1254975692627722,0.755572751504572,0.8031109327453217,0.7749165591061665
51.0,1.0,9.0,3497.0,8.0,3.0,0.0,-0.0579264296982367,0.0197810534638609,0.5128359752494515,0.5172018879361524,0.5004131975415892
61.0,1.0,19.0,3485.0,8.0,3.0,0.0,-0.0579264296982367,0.0197810534638609,0.41186269384339125,0.4418626938433913,0.43611790812020995
66.0,1.0,24.0,3482.0,8.0,3.0,0.0,-0.0579264296982367,0.0197810534638609,0.4279689344586457,0.44182171223642347,0.45796893445864567
86.0,1.0,2.0,3241.0,8.0,3.0,0.0,-0.0579264296982367,0.0197810534638609,0.5056771091887365,0.4908848869665143,0.4539074099426725
25.0,2.0,5.0,2471.0,8.0,3.0,7.0,-0.0579264296982367,0.0197810534638609,0.7404874580431839,0.7504504526132038,0.7286335308824078
75.0,2.0,8.0,2160.0,8.0,2.0,10.0,-0.0579264296982367,0.0197810534638609,0.8589489786711295,0.8889489786711295,0.8111168415269944
